artTitle,artDate,artTime,artUrl,artPoster,artCat,commentNum,push,boo,sentence
[問卦]台劇為什麼不先拍魷魚遊戲這種糞片,2021/09/21,07:53:36,https://www.ptt.cc/bbs/Gossiping/M.1632210818.A.BCF.html,TllDA,Gossiping,32,15,4,"魷魚遊戲  aka賭博末世路演技不誇張韓國版

裡面完全沒有大場景  一個攝影棚就可以從頭拍到尾

大咖演員第一集出現10分鐘就消失

男主角有印象的電影也只有邊喝紅酒邊叫女僕幫他吹那部

各種小成本的元素都有

但就讓人可以一口氣看完

幹麻花時間拍屍卡羅那種台女典範跟精神失調高加索的愛情故事?
"
[問卦]魷魚遊戲484在說這年頭男特務也會被無慘?,2021/09/21,10:03:21,https://www.ptt.cc/bbs/Gossiping/M.1632218603.A.5DF.html,touurtn,Gossiping,5,3,0,"昨天看完魷魚遊戲後

覺得受騙上當

結尾有夠爛的

不過途中看到一個男警察潛入工作的時候

也差點被無慘

跟我看過的無慘類型不同

所以說這年頭連男臥底也不安全了嗎?
"
[問卦]魷魚遊戲怎麼沒有開司？,2021/09/21,11:10:41,https://www.ptt.cc/bbs/Gossiping/M.1632222643.A.5CE.html,jimgene,Gossiping,35,10,0,"魷魚遊戲根本是
聽神明的話+賭博默世錄的remix版本

怎麼沒有請開司來客串一下
收視率絕對飆高

而且，男主角有夠孬的


沒有開司是不是一個敗筆？
"
[問卦]Netflix是不是瞧不起Eva粉？？？,2021/09/21,11:51:30,https://www.ptt.cc/bbs/Gossiping/M.1632225092.A.753.html,muoepoiy,Gossiping,8,3,2,"剛剛看了魷魚遊戲第一集

片尾居然播  fly me to the moon????!!!?

我資深Eva粉我生氣

當初買Eva  tv版

說版權太貴

片尾都沒有帶我到月亮可以聽

整個feeling都不對了！！！

不對了！！！！！

結果現在  原創影集

插曲居然用這首！！？！？？

而且編曲編得跟Eva差不多

唱的人音質也很相近

喂！！！捏福列可斯

他們是不是瞧不起Eva粉

想激怒Eva粉？？？

"
[問卦]魷魚遊戲不合理的地方?,2021/09/21,13:37:35,https://www.ptt.cc/bbs/Gossiping/M.1632231457.A.3E1.html,rs6677,Gossiping,50,23,4,"這兩天在看魷魚遊戲
拔河比賽還有80人，淘汰40人
拔河比賽完存活40人
加上蒙古大夫被抓包殺了
所以人數剩39人
輪到玩彈珠遊戲還有39人
1女邊緣人因無法組被送回宿舍
2人一組分19組
彈珠遊戲完存活19人
隔天1男自殺
加上邊緣1女=
人數應該19人才對
怎到斷橋遊戲
男主排到最後1號第16號
明明有19人啊？
怎3個人怎不見？
是不是魷魚遊戲很大bug?

"
Re:[問卦]月薪20幾K作息大概如何？,2021/09/21,14:39:38,https://www.ptt.cc/bbs/Gossiping/M.1632235182.A.9D8.html,pchion2002,Gossiping,102,79,2,"我月薪26K啦☺

早上7點起床 買洪爺漢堡的豬肉蛋堡+大冰奶

因為他們說用的是台灣豬肉所以支持☺

大冰奶通常都留到公司再喝

8點到公司第一件事就是佔廁所

順便打手遊 結束大概08:40

去隔壁7-11買咖啡 通常都可中冰拿 幫副理帶一杯

回來已經9點

等主管交辦事物 東摸摸西摸摸接近中午11點半

開始想今天午餐吃什麼

平時都是叫外送

熊貓跟Uber都是升級Pro版免運

心情好會去隔壁的三商巧福吃牛肉麵☺

12點是休息時間

一直休息到下午1點30分

我大概1點會回來睡午覺

然後下午又東摸摸西摸摸

接近5點半的時候會潛伏在打卡機附近

準時下班

下班時搭公車有時會看心情提早下車

在附近找餐廳吃晚餐

不能內用的期間就比較少去餐廳

都在7-11買便當回家

到家大概6點

先打手遊打到7點

8點-9點看YT

如果是禮拜三還會特別在9點等老高上片

9-10點吃宵夜時間

鹽酥雞200是基本

有時候滷味或是炸雞

也是配YT

10點過後放鬆是我的堅持

每天追Netflix的劇

通常都是韓劇 最近是魷魚遊戲☺

看到12點再洗洗睡

洗澡5分鐘搞定 不吹頭髮

隔天則是跳回第二行

日復一日 非常自律
不算 YT還要按略過廣告
Netflix完全沒廣告才是放鬆☺"
[問卦]今際之國跟魷魚遊戲哪個好看?,2021/09/21,15:05:06,https://www.ptt.cc/bbs/Gossiping/M.1632236708.A.516.html,takuminauki,Gossiping,75,48,3,"今際之國的闖關者
魷魚遊戲

差不多題材的連續劇
都是玩死亡遊戲為主要故事

差別在一個女角很多
一個比較少


今際之國三朵花，土屋太鳳、三吉彩花、朝比奈彩
魷魚遊戲有韓國影帝李政宰，還有客串鬼怪孔劉

大家覺得哪個好看
"
[問卦]什麼卷都要抽！我們是不是乞丐啊？,2021/09/21,15:54:55,https://www.ptt.cc/bbs/Gossiping/M.1632239697.A.21D.html,tennoji2003,Gossiping,14,3,1,"為什麼什麼卷都要用抽的？
不會直接發放嗎？
現在是把人民當乞丐是不是？
現金也不發！
還要人民玩抽獎遊戲！
乾脆辦個魷魚遊戲讓大家參加好了？
有沒有人民跟乞丐一樣的八卦呢？
"
[問卦]美國發$$有台灣五倍複雜嗎？,2021/09/21,16:43:44,https://www.ptt.cc/bbs/Gossiping/M.1632242626.A.4AD.html,PauFrank5566,Gossiping,7,4,0,"美國發$$有台灣五倍複雜嗎？

上波已經搞得老人很不爽了

這波又來一次

人民稅金都這樣玩來玩去

有何意義？


稅金真的有用在該幫助的人身上嗎？

美國大灑幣時有在玩這些543嗎？

政策永遠輸人，打房也是
看看對岸認真打房，讓房價崩盤下降


制定政策的人在幹嘛？ 全民玩魷魚遊戲算了
"
[問卦]台灣為何不舉辦魷魚遊戲解決社會問題?,2021/09/22,00:37:34,https://www.ptt.cc/bbs/Gossiping/M.1632271057.A.567.html,autokey,Gossiping,24,9,5,"把臺灣所有遊民流浪漢
整天要自殺叫119的精神病患
躁鬱症患者
啃老族等

全部造冊依梯次參加魷魚遊戲

獲勝的人
送房子送五倍券送打疫苗
再送帥氣老公或老婆
讓你幸福地跟正常人一樣過一輩子

這樣臺灣可以減少社會福利支出
還能有效降低行政資源
降低社會風險因子

行政院拿去參考
不用謝了"
Re:[問卦]台劇為什麼不先拍魷魚遊戲這種糞片,2021/09/22,01:48:58,https://www.ptt.cc/bbs/Gossiping/M.1632275340.A.DE4.html,winogu,Gossiping,8,5,0,"魷魚遊戲的集數太長了，不如拍成電影

刪去不必要的情節和對話、支線

大概可以濃縮成120分鐘的電影

如果拍成電影，台灣有誰可以當導演

魏德聖?朱延平?鈕承澤?程偉豪?

"
Re:[問卦]今際之國跟魷魚遊戲哪個好看?,2021/09/22,01:53:32,https://www.ptt.cc/bbs/Gossiping/M.1632275614.A.BE9.html,soul5566,Gossiping,10,7,0,"懶叫比雞腿
本來衝著大逃殺類型看的

但還能悶成這樣不簡單

今際屌打啦 妹子、泳裝 打鬥那段都帥~

雖然不算經典但也算有優點

魷魚就比較拖

鋪陳在那演人性醜惡這點 但前面一堆劇情滿多餘的

最大差別在妹子

魷魚在屎臉妹 (ig還不差啦 但戲中造型根本 根本不能配飯"
[問卦]綜藝大集合死亡版有搞頭嗎,2021/09/22,02:51:52,https://www.ptt.cc/bbs/Gossiping/M.1632279114.A.669.html,qaz911420,Gossiping,18,11,1,"RT
肥宅我前天陪我媽看完魷魚遊戲
幹 啊不就今際之國 要聽神明的話 賭博默示錄
的韓國版嗎？
遊戲還有夠爛的 日本這類型作品遊戲還都比較特別
怎麼這部居然還能上排行榜

但我媽不知道為什麼 跟他說日本拍的比較好看 她還是只看韓國的
可能是語言問題吧


最近有看到大家在討論台劇拍很爛
如果把綜藝大集合的懲罰加重 錢多一點
是不是就能拍一部台灣的魷魚遊戲了
像魚躍龍門的門加個刺之類的


綜藝大集合死亡版 有搞頭嗎

-
Sent from JPTT on my Xiaomi M2004J19C.
"
[問卦]館長參加魷魚遊戲會贏嗎?,2021/09/22,04:13:25,https://www.ptt.cc/bbs/Gossiping/M.1632284007.A.D73.html,winogu,Gossiping,21,10,3,"如果館長去參加魷魚遊戲

憑他講幹話的功力，和粗壯的身材

根本就是劇中人物黑道老大和高材生的綜合體

從第一關開始到最後一關單挑

這樣子應該拿到第一名不是問題吧

有卦嗎??
"
[問卦]魷魚遊戲484跟今際之國很像,2021/09/22,04:23:33,https://www.ptt.cc/bbs/Gossiping/M.1632284615.A.E72.html,dimaria11,Gossiping,152,80,7,"如題
概念都很像只有進入遊戲是非自願的差別
還有一個是小島上、一個是平行時空
一個是為了獎金（活下去）、一個是為了活下去
一個可以中離一個不能中離
看起來都是玩遊戲輸了會死的情節
安安
有沒有他們很像的卦
"
Re:[問卦]魷魚遊戲484跟今際之國很像,2021/09/22,04:54:54,https://www.ptt.cc/bbs/Gossiping/M.1632286496.A.941.html,blargelp,Gossiping,18,6,0,"賭命、賭錢遊戲一大堆啦

遊戲內容設計魷魚真的普普。
某關淘汰失敗者的裝置還可以炸到過關者 有夠智障。


不過魷魚的優點，比起其他遊戲，氛圍上、主角行動上，比較合乎邏輯吧

主角就聖母，但他聖母的讓人覺得合理。
你看日劇欺詐遊戲，女主就智障聖母。


不知道為什麼 日劇的逃殺類群像劇，人性面就都鳥鳥的。
韓國可能是社會氛圍，那種壓抑感就是比日劇不管玩什麼遊戲都像「整組人平移架空世界」的氛圍還要優。
"
Re:[問卦]魷魚遊戲484跟今際之國很像,2021/09/22,05:02:56,https://www.ptt.cc/bbs/Gossiping/M.1632286978.A.5CE.html,FA88124,Gossiping,27,4,0,"看完感覺莫名其妙


（雷）


1. 第一集花大量時間鋪陳男1多爛
然後結尾突然良心發現！？
大概是想描述他得到救贖變好人的過程啦
但轉折實在非常缺乏說服力

2.  結尾放棄去美國找女兒，這個決定完全不合理

3. 醫生線完全可以刪除
一開始以為割內臟賣是集團操作
結果只是幾個人而已

4. 警察線想埋第二部伏筆
但第一季進行的蠻無聊的

5. 結論，最精彩的部分就是廁所%%
如果結局是男2反殺拿走所有獎金
我覺得還比較好
"
Re:[問卦]今際之國跟魷魚遊戲哪個好看?,2021/09/22,05:59:01,https://www.ptt.cc/bbs/Gossiping/M.1632290346.A.ACD.html,hsiung9,Gossiping,7,1,0,"今際之國 漫畫改編
幾乎全引用漫畫內容
除了第一關是新增
所以變成了第一關最難的搞笑狀況
裏面都俊男美女 畫面感強

魷魚遊戲 比較講求人性
打彈珠開始各種出賣
終於有黑暗面 但又顯得不夠張力
場外幹掉的人又這麼多
這是大逃殺還是比遊戲？
兩邊都想弄反而不討好
更別說是一堆鬧劇
打彈珠剩一顆的 死賴的不肯玩要
一起死你能怎樣？
還有無意義的警察劇情 整個黑人問號
結論是廁所大亂鬥最強



-
Sent from JPTT on my Google Pixel 5.
"
[問卦]台灣誰最適合參加魷魚遊戲？,2021/09/22,12:51:34,https://www.ptt.cc/bbs/Gossiping/M.1632315096.A.742.html,GDSY,Gossiping,11,4,2,"如題

魷魚遊戲是給在社會上走投無路的人翻身的機會

如果台灣可以派出一個人代表參加魷魚遊戲

誰最適合參加呢？
"
[問卦]魷魚遊戲否認抄襲日劇,2021/09/22,13:24:21,https://www.ptt.cc/bbs/Gossiping/M.1632317063.A.0BA.html,popo123456,Gossiping,53,26,1,"Netflix大熱劇集《魷魚游戲》被指抄襲三池崇史2014年導演電影《要聽神明的話》。近日，導演黃東赫對此事進行了回應，“我在2008年拍攝了我的首部作品後，去了很多漫畫書店，看了很多“生存故事”。所以想以韓國的方式重新創造這類故事，會很有趣。我早在2009年就完成了劇本，但有人告訴我，它不會成功，因為故事很殘酷，而且這種類型在當時對公眾來說是陌生的。由於這個項目難以理解，我無法獲得任何投資或選角，所以我被迫停止了準備。”

…….


2008年我已經想好劇情了啦，是日本人先拍好抄襲我的，有沒有臉皮很厚的卦？
-
Sent from JPTT on my iPhone
"
Re:[問卦]魷魚遊戲否認抄襲日劇,2021/09/22,14:03:37,https://www.ptt.cc/bbs/Gossiping/M.1632319420.A.14E.html,ken1325,Gossiping,15,9,2,"明明就是抄賭博默示錄

賭博默示錄1996年就出來了，

魷魚的遊戲內容真的很爛

根本被開司屌打"
Re:[問卦]魷魚遊戲否認抄襲日劇,2021/09/22,14:13:42,https://www.ptt.cc/bbs/Gossiping/M.1632320024.A.729.html,segawar,Gossiping,20,8,0,"魷魚遊戲中劇情、演技、運鏡手法等都不錯
唯獨遊戲本身很多人說比起日本較沒創意
如賭博默示錄、詐欺遊戲等
遊戲的深度和趣味度不足

但我倒是覺得不像日本這兩部
更像是奪魂鋸
為了生存的考驗
整體的新鮮感和品質我認為還是非常優異
個人認為超越現在的日劇倒是沒什麼問題
至少我認為比起今際之國我更欣賞這部
"
Re:[問卦]魷魚遊戲否認抄襲日劇,2021/09/22,14:22:48,https://www.ptt.cc/bbs/Gossiping/M.1632320571.A.B1D.html,bear26,Gossiping,9,9,0,"本人可能看不多

我就想問

2008時

市面上

這種風格的作品有哪部？


（以下為原作發表時間點）
大逃殺 1999

飢餓遊戲 2008

惡之教典 2010

今際之國 2010

要聽神明的話2011


中間有十年的時間不知道是大逃殺威力太強

還是太多雜魚作品太多 多到讓人沒印象


2008當時請問要參考

要看什麼作品呢？

"
[問卦]魷魚遊戲是不是只有演技贏今際？,2021/09/22,15:05:04,https://www.ptt.cc/bbs/Gossiping/M.1632323106.A.926.html,longtimens,Gossiping,87,36,12,"如題，日韓類似題材的兩部

遊戲設計，有原作的今際之國完全屌打，魷魚遊戲根本就是完全靠賽

但演員演技日本演員整個被海放，魷魚遊戲三個男角不愧都是影帝視帝級別，演那種人設崩壞的爛劇本，還是很有說服力

日本的今際之國…崩潰哭哭外…還是崩潰哭哭

演技差了十條街

日本演員演技是不是已經被韓國演員海放了啊？

有沒有掛？

-
Sent from JPTT on my Samsung SM-N950F.
"
[問卦]天橋上的魔術師有贏魷魚遊戲嗎,2021/09/22,16:20:13,https://www.ptt.cc/bbs/Gossiping/M.1632327615.A.A27.html,segawar,Gossiping,22,7,6,"我剛看了天橋上的魔術師
無論劇情深度、拍攝手法、運鏡、演技
都不在魷魚遊戲之下
想問各位 平心而論天橋上的魔術師
有贏魷魚遊戲嗎
"
[問卦]怎麼不拍窮人逼迫有錢人玩遊戲的片?,2021/09/22,16:21:39,https://www.ptt.cc/bbs/Gossiping/M.1632327701.A.890.html,seabox,Gossiping,24,7,0,"像魷魚遊戲這種 就找一堆底層人民玩遊戲 然後有錢人當觀眾
一場遊戲翻身的片

怎麼不拍個底層人民 挾持一群有錢人 逼迫他們玩遊戲
只有贏的才能活下去

這種片有搞頭嗎
"
[問卦]館長跟連千億誰是台灣最頂的89??,2021/09/23,03:04:14,https://www.ptt.cc/bbs/Gossiping/M.1632366256.A.958.html,ttww1991,Gossiping,19,9,4,"館長，武力型89

電商買賣童叟無欺，都用最頂的料子

中槍後大難不死且恢復極快

如果玩魷魚遊戲應該能把123木頭人的機器人腦袋擰下來

認了 蔡姊姊、侯大哥、王大哥、柯大哥、明文兄、3Q兄弟、國昌老師

而且在台灣很多要選舉的人都會想上阿館的節目拜個碼頭

並且長年致力於慈善捐款

令人敬佩


千億，智力型89

直播叫賣詼諧有趣，橋段設計有巧思

刷一排愛心分享抽哀鳳一言九鼎

對落魄藝人伸出援手毫不猶豫

佳華、李炳輝也實質獲得了幫助

身邊總是美女如雲、老婆漂亮兒子帥

五子登科實為台男典範

令人羨慕


館長、千億兩人均縱橫商場

一個在政界吃得開、一個對演藝圈有接觸

到底誰才是台灣最頂的89?

有卦?
"
[問卦]那些過氣藝人會去參加魷魚遊戲,2021/09/23,03:18:52,https://www.ptt.cc/bbs/Gossiping/M.1632367134.A.C82.html,suweiQQ,Gossiping,13,6,0,"藝人收入不穩定

看似光鮮亮麗的生活其實也有賺不到錢的危機

或者投資慘賠、遭人詐欺導致欠債

一旦不紅過氣了就逐漸失去經濟來源

不知道有那些過氣藝人會去參加魷魚遊戲呢？



喔對了可以幫我發一篇如果豆導拍的話會怎樣嗎
"
[問卦]魷魚遊戲會期待臥底警察被肥仔玩弄代表?,2021/09/23,04:28:54,https://www.ptt.cc/bbs/Gossiping/M.1632371337.A.566.html,williammini,Gossiping,4,2,0,"昨天在看魷魚遊戲啦

看到臥底警察被肥仔帶到貴賓室

突然好期待警察被肥仔玩弄

請問我這心態代表什麼?


有卦嗎
"
[問卦]魷魚遊戲在台灣要玩啥啊？,2021/09/23,07:05:44,https://www.ptt.cc/bbs/Gossiping/M.1632380746.A.9C1.html,s820912gmail,Gossiping,88,51,3,"如題
最近某平台上很夯的一部片啦
玩六個兒時遊戲
總獎金10億元

如果說
把這個東西搬來台灣
可以玩什麼遊戲
閃電布丁 鬥片 扯鈴 橡皮筋
魚躍龍門 滿面全豆花

如果台灣也要玩魷魚遊戲
要選哪六個
有沒有卦
"
[問卦]我的英雄學院抄襲超人高校？,2021/09/23,08:49:41,https://www.ptt.cc/bbs/Gossiping/M.1632386984.A.BDD.html,al199786215,Gossiping,19,1,1,"日本動漫 我的英雄學院

是不是也抄襲美國電影超人高校啊？

主角都是沒超能力的雜魚

然後被霸凌之類突然覺醒超能力

超能力還剛好都是怪力

霸凌者還剛好都是手會噴火的

進學校還剛好要搞分組

超人高校是英雄組跟助手組

英雄學院變成英雄組跟發明組

皇民最近狂噴魷魚遊戲 沒想到自己也是抄襲仔

難怪會偷畫731部隊 真的是不意外～
-
Sent from JPTT on my iPhone
"
[問卦]胡瓜來當魷魚遊戲的關主會怎樣,2021/09/23,10:00:27,https://www.ptt.cc/bbs/Gossiping/M.1632391229.A.E47.html,subcrew,Gossiping,17,13,3,"如題

魷魚遊戲的關主通常都帶個面罩

如果今天是台灣的綜藝大哥胡瓜

來當魷魚遊戲的關主 會怎樣

有卦嗎
"
